Sr. no,Date,Open,High,Low,Close,Volume
0,2023-04-03T09:15:00+0530,1607.55,1609.55,1606,1606.65,169821
1,2023-04-03T09:20:00+0530,1606.55,1607.95,1603.4,1607.25,203608
2,2023-04-03T09:25:00+0530,1607.45,1607.65,1604.1,1607,164006
3,2023-04-03T09:30:00+0530,1607,1610.15,1606.7,1609.1,226137
4,2023-04-03T09:35:00+0530,1609.4,1610.4,1607.65,1608.25,138182
5,2023-04-03T09:40:00+0530,1608.2,1612,1608.05,1610.95,71269
6,2023-04-03T09:45:00+0530,1610.55,1615.05,1610.55,1615,79283
7,2023-04-03T09:50:00+0530,1615,1615.55,1611.1,1611.35,148638
8,2023-04-03T09:55:00+0530,1611.3,1614.3,1610.05,1613.65,141478
9,2023-04-03T10:00:00+0530,1613.65,1614.45,1611.35,1612,123131
10,2023-04-03T10:05:00+0530,1611.45,1613.7,1611.35,1612.2,44918
11,2023-04-03T10:10:00+0530,1612.2,1614.75,1612.2,1612.4,95582
12,2023-04-03T10:15:00+0530,1612.4,1612.4,1609.4,1609.8,179004
13,2023-04-03T10:20:00+0530,1609.75,1611.8,1609.75,1611.05,165631
14,2023-04-03T10:25:00+0530,1611.05,1611.5,1608.75,1609.75,114272
15,2023-04-03T10:30:00+0530,1609.65,1610.95,1608.25,1610.5,117732
16,2023-04-03T10:35:00+0530,1610.5,1612.3,1610.45,1611.7,200900
17,2023-04-03T10:40:00+0530,1611.7,1613.15,1607.25,1607.55,512170
18,2023-04-03T10:45:00+0530,1607.45,1609.4,1606.35,1608.6,196511
19,2023-04-03T10:50:00+0530,1608.7,1611.55,1606.5,1608.55,238833
20,2023-04-03T10:55:00+0530,1608.55,1611.15,1606.55,1610.4,358077
21,2023-04-03T11:00:00+0530,1610.35,1610.8,1609.4,1609.85,69046
22,2023-04-03T11:05:00+0530,1609.85,1611.4,1609,1611.15,377342
23,2023-04-03T11:10:00+0530,1611.15,1611.65,1606.6,1606.75,405305
24,2023-04-03T11:15:00+0530,1606.65,1609.9,1606.15,1608.85,219249
25,2023-04-03T11:20:00+0530,1608.8,1609,1607.65,1608.45,29071
26,2023-04-03T11:25:00+0530,1608.3,1610.7,1606.75,1608,455261
27,2023-04-03T11:30:00+0530,1608,1608.5,1602.75,1603.85,699959
28,2023-04-03T11:35:00+0530,1603.8,1605.3,1603.4,1604.55,71335
29,2023-04-03T11:40:00+0530,1604.5,1605.35,1603.4,1603.85,121757
30,2023-04-03T11:45:00+0530,1603.85,1606.4,1603.75,1604.2,311961
31,2023-04-03T11:50:00+0530,1604.5,1609.95,1604.15,1609.95,591908
32,2023-04-03T11:55:00+0530,1610.05,1610.7,1605.25,1605.5,692776
33,2023-04-03T12:00:00+0530,1605.85,1606,1604,1605.25,822256
34,2023-04-03T12:05:00+0530,1605.5,1609.45,1605.1,1608.85,698938
35,2023-04-03T12:10:00+0530,1608.85,1609.85,1607.1,1607.6,142737
36,2023-04-03T12:15:00+0530,1607.55,1609.4,1607,1609.4,138025
37,2023-04-03T12:20:00+0530,1609,1609.5,1606.9,1608,51512
38,2023-04-03T12:25:00+0530,1607.65,1608.2,1603.8,1608.2,669491
39,2023-04-03T12:30:00+0530,1608.2,1608.9,1606.3,1607.6,185386
40,2023-04-03T12:35:00+0530,1607.6,1607.65,1606,1606.75,42892
41,2023-04-03T12:40:00+0530,1606.75,1607.5,1605.6,1606.3,153912
42,2023-04-03T12:45:00+0530,1606.4,1609.35,1606.25,1609.05,493097
43,2023-04-03T12:50:00+0530,1609.05,1612.7,1609.05,1611.2,675455
44,2023-04-03T12:55:00+0530,1611.2,1612.35,1608.5,1608.75,368480
45,2023-04-03T13:00:00+0530,1608.65,1608.75,1605.9,1607.9,542607
46,2023-04-03T13:05:00+0530,1607.9,1610.7,1606.85,1608.55,232696
47,2023-04-03T13:10:00+0530,1608.55,1609.4,1607.75,1609,34072
48,2023-04-03T13:15:00+0530,1609,1609.55,1608,1609,29081
49,2023-04-03T13:20:00+0530,1609.05,1609.4,1608,1608.1,37820
50,2023-04-03T13:25:00+0530,1608.05,1609,1605.5,1605.5,204441
51,2023-04-03T13:30:00+0530,1605.5,1611.2,1605.3,1611.1,519786
52,2023-04-03T13:35:00+0530,1611.1,1611.2,1604.7,1604.7,459748
53,2023-04-03T13:40:00+0530,1604.8,1606.4,1604.25,1606.4,558742
54,2023-04-03T13:45:00+0530,1606.2,1608.15,1605.6,1606.6,597942
55,2023-04-03T13:50:00+0530,1606.6,1607.6,1605.1,1607.55,101841
56,2023-04-03T13:55:00+0530,1607.5,1608.5,1606.2,1607.4,122840
57,2023-04-03T14:00:00+0530,1607.65,1609.8,1605.55,1608.45,143808
58,2023-04-03T14:05:00+0530,1608.55,1609.45,1607,1607.6,114100
59,2023-04-03T14:10:00+0530,1607.6,1611.1,1607.2,1610.9,116600
60,2023-04-03T14:15:00+0530,1611,1611,1607.25,1608.75,106971
61,2023-04-03T14:20:00+0530,1608.75,1611.5,1608.05,1609.7,120824
62,2023-04-03T14:25:00+0530,1609.65,1611,1609.15,1610.45,37349
63,2023-04-03T14:30:00+0530,1610.3,1611.75,1607,1609.5,583887
64,2023-04-03T14:35:00+0530,1608.75,1610.7,1607.2,1609.3,810627
65,2023-04-03T14:40:00+0530,1609.3,1611.7,1607.05,1608.5,708620
66,2023-04-03T14:45:00+0530,1608.5,1611,1606.8,1610.45,351819
67,2023-04-03T14:50:00+0530,1610.35,1610.75,1608.6,1609.6,87646
68,2023-04-03T14:55:00+0530,1609.45,1610.75,1608.45,1609.3,157248
69,2023-04-03T15:00:00+0530,1609.3,1612.3,1608.55,1611.9,313022
70,2023-04-03T15:05:00+0530,1611.85,1612,1609,1609.7,167683
71,2023-04-03T15:10:00+0530,1609.7,1611,1609.4,1610.6,151551
72,2023-04-03T15:15:00+0530,1610.6,1612.35,1609.5,1610,129407
73,2023-04-03T15:20:00+0530,1610.05,1610.65,1608.6,1609.7,100301
74,2023-04-03T15:25:00+0530,1609.9,1611.8,1609,1609.9,70434
75,2023-04-05T09:15:00+0530,1618.6,1634,1616.2,1633,645404
76,2023-04-05T09:20:00+0530,1632.4,1635.15,1631.3,1633.4,423304
77,2023-04-05T09:25:00+0530,1632.9,1642.35,1632.5,1639.5,1200538
78,2023-04-05T09:30:00+0530,1639.8,1641.95,1639.5,1640.8,454714
79,2023-04-05T09:35:00+0530,1640.8,1643,1640.1,1642.05,251401
80,2023-04-05T09:40:00+0530,1642.4,1643.65,1640.35,1642.25,250237
81,2023-04-05T09:45:00+0530,1642.25,1650,1642.25,1650,407431
82,2023-04-05T09:50:00+0530,1649.5,1653.7,1647.5,1650.2,404092
83,2023-04-05T09:55:00+0530,1650.1,1651.8,1647.35,1647.6,302614
84,2023-04-05T10:00:00+0530,1647.6,1651.55,1645.15,1650.8,489263
85,2023-04-05T10:05:00+0530,1650.4,1651,1648,1649.7,111446
86,2023-04-05T10:10:00+0530,1649.7,1652,1648.6,1651.6,405291
87,2023-04-05T10:15:00+0530,1651.55,1652.35,1646.45,1646.45,443158
88,2023-04-05T10:20:00+0530,1646.4,1648,1645.75,1647.5,354102
89,2023-04-05T10:25:00+0530,1647.5,1649.35,1646.5,1648.65,146074
90,2023-04-05T10:30:00+0530,1648.95,1651.55,1647.3,1647.7,630352
91,2023-04-05T10:35:00+0530,1647.7,1649,1647.55,1648.7,128478
92,2023-04-05T10:40:00+0530,1648.75,1649.9,1647,1647.4,213899
93,2023-04-05T10:45:00+0530,1647.4,1647.4,1645.1,1646.05,272699
94,2023-04-05T10:50:00+0530,1646.2,1648.6,1644.8,1645.8,370210
95,2023-04-05T10:55:00+0530,1645.75,1645.95,1643.35,1644.8,540608
96,2023-04-05T11:00:00+0530,1644.8,1645.5,1643.7,1644.8,168704
97,2023-04-05T11:05:00+0530,1644.85,1644.95,1642.55,1643.55,252803
98,2023-04-05T11:10:00+0530,1643.55,1644.65,1643.1,1644.5,45012
99,2023-04-05T11:15:00+0530,1644.65,1647.45,1644.25,1647,259777
100,2023-04-05T11:20:00+0530,1647.05,1649.4,1645.35,1645.45,543254
101,2023-04-05T11:25:00+0530,1645.35,1647.95,1643.65,1647.9,691373
102,2023-04-05T11:30:00+0530,1647.95,1649.2,1647.5,1649.1,304099
103,2023-04-05T11:35:00+0530,1649.3,1649.5,1646.3,1646.55,221052
104,2023-04-05T11:40:00+0530,1646.45,1646.5,1643.1,1643.9,638465
105,2023-04-05T11:45:00+0530,1643.9,1647.05,1643.8,1645.85,245994
106,2023-04-05T11:50:00+0530,1645.7,1646.45,1645.15,1645.95,44187
107,2023-04-05T11:55:00+0530,1645.6,1646.65,1645.55,1645.8,48410
108,2023-04-05T12:00:00+0530,1645.8,1646.1,1645.15,1645.85,34478
109,2023-04-05T12:05:00+0530,1645.9,1646.45,1645.15,1645.15,29149
110,2023-04-05T12:10:00+0530,1645.35,1645.85,1644.05,1645.25,78758
111,2023-04-05T12:15:00+0530,1645.35,1646.95,1644.75,1646.65,122276
112,2023-04-05T12:20:00+0530,1646.7,1648.65,1645.7,1647.55,157993
113,2023-04-05T12:25:00+0530,1647.65,1649,1647.3,1647.3,197457
114,2023-04-05T12:30:00+0530,1647.45,1647.45,1645.9,1646,271796
115,2023-04-05T12:35:00+0530,1646.2,1649.5,1645.55,1649.5,125927
116,2023-04-05T12:40:00+0530,1649.45,1650,1648.35,1649.9,88403
